Name Of The Course ,Institute,Number of learners,Link,Description,Type,Category
business analysis process modelling, Steve McIntosh,316,https://alison.com/course/business-analysis-process-modelling#l-main-pub,"Explain the principles of business analysis and process ,  Explain the concept of systems thinking and the holistic,  Identify the boundary of a business system an", Certification course,business
data entry tools and techniques, Training Express,"48,990",https://alison.com/course/data-entry-tools-and-techniques#l-main-pub,"Explain the concept of data entry and its importance in ,  Distinguish between offline and online data entry jobs a,  Identify the key responsibilities and job titles related,  Outline the web scraping process", Certification course,Information Technology
ms excel manage and report with microsoft excel basic, Crafty E-learning,"11,595",https://alison.com/course/ms-excel-manage-and-report-with-microsoft-excel-basic#l-main-pub,"Outline the elements of the ?File? and ?Home? menus in E,  Distinguish between the ?Insert? menu and ?Pa,  Describe Microsoft Excel's interface", Certification course,Information Technology
creating a local sqlite database with node js, Stone River eLearning,"1,261",https://alison.com/course/creating-a-local-sqlite-database-with-node-js#l-main-pub,"Describe how to install and set up Node, a local server ,  Outline the advantages of node packages like ,  Define ?Node? and ?SQLite?", Certification course,Information Technology
introduction to database concepts revised, Channel 9,"34,314",https://alison.com/course/introduction-to-database-concepts-revised#l-main-pub,"Describe a database and give an example of real life use,  List common database terms and explain their part in a d,  Describe normalization", Certification course,business
gateway to quantum computing exploring the basics, Digital Partner,888,https://alison.com/course/gateway-to-quantum-computing-exploring-the-basics#l-main-pub,"Explain the three core principles of quantum ,  Define quantum computing and its primary applications,  Describe the fundamental properties of quantum computing", Certification course,Information Technology
the fundamentals of chat gpt ai language model, Digital Partner,"13,530",https://alison.com/course/the-fundamentals-of-chat-gpt-ai-language-model#l-main-pub,"Compare the roles of ChatGPT and Google in te,  Define the role of OpenAI in innovating technology,  Explain how different AI products work", Certification course,Information Technology
network server security protecting the server and client computers revised, Channel 9,"29,249",https://alison.com/course/network-server-security-protecting-the-server-and-client-computers-revised#l-main-pub,"Discuss different network access methods and isolation m,  Describe different protocols for network secu,  List the different firewall types", Certification course,Information Technology
basics of data analysis with excel, SimonSezIT,"8,921",https://alison.com/course/basics-of-data-analysis-with-excel#l-main-pub,"Describe the viewing, entering and copying of data in Ex,  Analyze The basic principles of Microsoft Excel,  Identify the basic formulas used in Excel", Certification course,Information Technology
master course in generative ai artificial intelligence, Prakash Prasad,"5,752",https://alison.com/course/master-course-in-generative-ai-artificial-intelligence#l-main-pub,"Analyze the different types of generative AI models and ,  Apply generative AI techniques to solve real-world probl,  Categorize different types of data and genera", Certification course,Information Technology
wide area networks and networking services and security revised, Channel 9,"11,434",https://alison.com/course/wide-area-networks-and-networking-services-and-security-revised#l-main-pub,"Describe Routing and Remote Access Service an,  Describe Dynamic Host Configuration Protocol,  Describe the function of Remote Desktop Services", Certification course,Information Technology
the complete guide to microsoft access 2021, SimonSezIT,"2,173",https://alison.com/course/the-complete-guide-to-microsoft-access-2021#l-main-pub,"Describe how to use various database templates to create,  Describe how to create tables and fields and ,  Explain how to acquire MS Access 2021", Certification course,Information Technology
vulnerability assessment and penetration testing vapt, Exoexcellence Consultants,"1,499",https://alison.com/course/vulnerability-assessment-and-penetration-testing-vapt#l-main-pub,"Describe the significance of Vulnerability Assessment an,  Distinguish between Vulnerability Assessment and Penetra,  Explain the key components of Cybersecurity F", Certification course,Information Technology
introduction to transport layer and network security, NPTEL,"5,442",https://alison.com/course/introduction-to-transport-layer-and-network-security#l-main-pub,"Identify how to troubleshoot a network and th,  Identify the concept of the transport layer in a network,  Discuss TCP and UDP on Cisco Packet Tracer", Certification course,Information Technology
digital and cyber security awareness, Workforce Academy Partnership,"31,745",https://alison.com/course/digital-and-cyber-security-awareness#l-main-pub,"Identify cyber security risks,  Describe proper promotional techniques,  Explain how to prevent cyber attacks", Certification course,Information Technology
learning microsoft powerpoint, SONIC Performance Support - E-Learning Experts,"3,905",https://alison.com/course/learning-microsoft-powerpoint#l-main-pub,"Outline the process of setting up and navigating the Pow,  Demonstrate how to create and save your presentations su,  Explain how to perform basic and advanced text edits on ", Certification course,education
